Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_ABGR","PLCC-4",0.000000,4.600000,180.000000,bottom
"MK1","Microphone_Condenser","ElectretCondenserMic_SMT_MO063602-1",0.000000,0.000000,180.000000,bottom
"BT1","CR2032Holder","BH-25C-1",0.000000,0.000000,36.870000,top
"C1","1u","C_0603_1608Metric",-10.000000,-4.175000,90.000000,top
"C2","1u","C_0603_1608Metric",-7.500000,-7.175000,90.000000,top
"C5","10n","C_0603_1608Metric",-2.613616,-3.375000,0.000000,top
"C6","10n","C_0603_1608Metric",4.925000,-8.445000,-90.000000,top
"C7","10p","C_0603_1608Metric",2.500000,-1.875000,180.000000,top
"C8","10p","C_0603_1608Metric",-0.813616,-9.825000,-90.000000,top
"C11","100n","C_0603_1608Metric",7.400000,-5.440000,-90.000000,top
"C12","10n","C_0603_1608Metric",5.880000,-5.440000,-90.000000,top
"C13","1u","C_0603_1608Metric",-0.750000,3.200000,180.000000,top
"C14","1u","C_0603_1608Metric",-0.750000,7.700000,180.000000,top
"C15","1u","C_0603_1608Metric",2.150000,2.000000,-90.000000,top
"Q1","Q_NMOS_DGS","SOT-23",4.650000,2.100000,-90.000000,top
"Q2","Q_NMOS_DGS","SOT-23",-4.300000,2.700000,0.000000,top
"Q3","Q_NMOS_DGS","SOT-23",-4.950000,6.850000,0.000000,top
"Q4","Q_NMOS_DGS","SOT-23",2.550000,8.450000,-90.000000,top
"Q5","Q_NMOS_DGS","SOT-23",-8.187500,-0.800000,0.000000,top
"R1","100","R_0603_1608Metric",-7.700000,4.850000,90.000000,top
"R2","1k","R_0603_1608Metric",-6.151116,-9.425000,180.000000,top
"R3","10k","R_0603_1608Metric",-2.613616,-1.875000,0.000000,top
"R4","10M","R_0603_1608Metric",-8.500000,-4.175000,90.000000,top
"R5","10M","R_0603_1608Metric",-5.338616,-7.175000,90.000000,top
"R11","270k","R_0603_1608Metric",0.386384,-3.375000,0.000000,top
"R12","100","R_0603_1608Metric",3.410000,-8.435000,-90.000000,top
"R13","10M","R_0603_1608Metric",3.386384,-3.375000,0.000000,top
"R14","10M","R_0603_1608Metric",0.686384,-9.825000,90.000000,top
"R15","270k","R_0603_1608Metric",-3.138616,-10.975000,180.000000,top
"R16","1k","R_0603_1608Metric",-2.363616,-5.700000,-90.000000,top
"R17","100","R_0603_1608Metric",-5.000000,9.350000,0.000000,top
"R18","1k","R_0603_1608Metric",-0.750000,4.700000,180.000000,top
"R19","1.4k","R_0603_1608Metric",-0.750000,6.200000,180.000000,top
"R20","1.5k","R_0603_1608Metric",2.150000,5.000000,90.000000,top
"R21","100","R_0603_1608Metric",5.100000,8.850000,90.000000,top
"R22","100","R_0603_1608Metric",4.400000,5.200000,0.000000,top
"U1","OPAMP","SOT-23-5",0.136384,-6.250000,90.000000,top
"U2","PIC18F06","TSSOP-14_4.4x5mm_P0.65mm",9.150000,0.150000,90.000000,top
